"통계분류","항목","단위","1994 년","1995 년","1996 년","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년","2017 년","2019 년","2021 년",
"전체","사례수","","1200","1200","1200","1200","1000","1000","1000","1000","1000","703","","1427","3267","3592","3128","2443",
"전체","계","","","","","","","","","","","0","100","100","","100","","",
"전체","소설( 장르 소설 포함)","","","","","","","","","","","0","","10.2","12.8","13","14.4","26.5",
"전체","수필","","6.9","6","6.4","8.2","7.8","7.2","5.8","7.4","7.5","0","","","","","","11.5",
"전체","재테크","","","","","1.8","3.4","3.3","5.9","4.4","4.3","0","","","","","","7.8",
"전체","철학, 사상, 종교","","3.3","2.6","2.7","2.1","1.9","2.5","2.3","1.7","2.2","0","","","","","","7.7",
"전체","자기계발서","","","","","","","","","","","0","7.3","9.4","9","9.2","10.3","7.5",
"전체","취미,오락,여행,건강","","","","","","","","","","","0","19.3","12.1","11.5","10.9","10","6.3",
"전체","경제,경영","","","","","","","","","","","0","5.7","7.3","6.8","7.6","7.4","6.2",
"전체","정치,사회,시사","","","","","","","","","","","0","5.8","3.9","3.9","4.7","3.7","5.4",
"전체","어학, 외국어","","","","",".9","1.3","2.3","1.7","1.3","1.4","0","","","","2.7","","4.8",
"전체","역사, 지리","","2.6","3","3.2","2.6","2.5","2.7","2.8","2.1","1.8","0","","","","","","4.4",
"전체","가정,육아,요리","","","","","","","","","","","0","6.1","6.3","5.5","5.4","4.3","4.1",
"전체","시","","2","2.8","2.9","4","2.6","1.8","2.5","2","3.3","0","","","","","","3.4",
"전체","책을 전혀 읽지 않는다","","","","","","","11.7","9.5","16.3","13.8","0","","","","","","",
"전체","선호분야없음","","","","","11.7","11.6","","","","","0","","","","","","",
"전체","국내소설","","29.6","31.9","33","","","","","","","0","","","","","","",
"전체","추리소설","","5.1","5.8","6.8","5.5","6.4","3.6","4.3","3.6","5.7","0","","","","","","",
"전체","외국소설","","10","8.7","7.2","","","","","","","0","","","","","","",
"전체","유모어·풍자","","2.8","2.2","2.7","","","","","","","0","","","","","","",
"전체","공상과학소설","","1.8","1.6","1.4","","","","","","","0","","","","","","",
"전체","과학,기술","","","","","","","","","","","0",".8","","","","","",
"전체","시,소설,수필","","","","","","","","","","","0","25.9","","","","","",
"전체","무협,판타지,추리소설","","","","","","","","","","","0","8.4","","","","","",
"전체","예술,문화","","","","","","","","","","","0","3.9","3.7","3.7","4","","",
"전체","재테크,부동산","","","","","","","","","","","0","3.8","3.3","","2.8","","",
"전체","역사,지리","","","","","","","","","","","0","2.6","2.9","3.6","3.8","","",
"전체","어학,컴퓨터","","","","","","","","","","","0","1.4","2.2","","","","",
"전체","문학도서","","","","","45.7","42.5","35.8","36.8","38.7","41.3","40.8","","26.6","27","23.7","29.5","",
"전체","일반소설","","","","","24.4","22.2","19.1","19.7","21.4","19.2","0","","","","","","",
"전체","수기, 전기","","7.1","5.4","6.6","1.6","1.8","1.9","1.4","2.2","2.5","0","","","","","","",
